feature,gain,repeat,fold
native_sample_rate,0.3678833246231079,0,0
year,0.3533887267112732,0,0
bytes_on_disk,0.20604893565177917,0,0
duration_seconds,0.07267898321151733,0,0
year,0.3217208683490753,0,1
bytes_on_disk,0.29970431327819824,0,1
native_sample_rate,0.2774404287338257,0,1
duration_seconds,0.10113436728715897,0,1
native_sample_rate,0.33240488171577454,0,2
year,0.31961673498153687,0,2
bytes_on_disk,0.21398131549358368,0,2
duration_seconds,0.1339971125125885,0,2
bytes_on_disk,0.3221246898174286,0,3
year,0.2997815012931824,0,3
native_sample_rate,0.260329008102417,0,3
duration_seconds,0.11776488274335861,0,3
